experiment_id,serial,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,physique,prowess,mental,psychology,aggression
6539e0b3-21e7-4bed-82a4-7ea38411ff35,266f04mq,great_success,465,262,352,317,105,50,697,347,27,137,"",ce3d9be8-32c5-4c57-9e44-a4f94a6ab96d,a9946a34-340d-4d99-b3e6-cd684902e4c0,40d67af7-3c60-4b78-9f2a-197b7091619d,90fc4fe0-b97d-4fe4-ad56-9d2ea86256e5,87dbdeb0-3f0d-4bb3-8813-5403ade74625
bf88d2a3-3e12-4b66-a509-f96d513626a1,qoodetmk,high,370,93,202,338,122,71,788,511,73,95,"",6f58dc0e-63e4-466f-a51f-09266dc090a1,9e5a8c88-15ac-4be6-9709-f00733035a88,166e9431-aeb2-45ba-8088-e4f9866a04f0,c2191c36-1873-4c58-a48b-f51dee64c6c3,345206b9-1de5-4a54-84cc-a09f86b36109
214fb947-88d6-4426-a3d4-d6880b8921f8,7pc5dm95,high,575,406,395,341,338,191,417,212,142,447,"",dd9cb09d-c88f-4aed-b77e-60d8c5b4e591,3a2136ec-1881-4fd6-bde5-e76e906ca154,12e84898-df42-4943-b169-c1c7fc9b4d40,5fd1fcd1-6649-4639-92b0-1ae1c47ab030,7df3bc75-0655-49ca-aed6-a1c5d0470c49
4a0c1050-804a-4b29-8070-e8b87c556e97,ar63gbss,success,280,95,203,342,111,98,622,343,143,271,"",05ff0092-7c5c-4e2c-a93a-425662417168,2672260e-b127-49f8-b40c-95e34d2e3cea,2b98af90-2aac-4a49-9688-8da946599efa,057dbf1d-a5ec-4342-83e3-a8586355a925,95c90aeb-e56f-4b22-b982-03f901602a47
763d3fa3-6df2-45be-abef-d619614dbec9,ntktb3hj,above_average,349,153,167,317,46,65,517,418,1,269,"",a12242d1-0f0f-4814-a613-faa83ed3c27d,c5afbbc5-a66c-45aa-a2f5-337b45b7a22d,da89d2c0-e7c0-4d68-a446-27ddab0dfd61,479fefc3-e556-49a5-8d01-47e3be08976b,d9fa764e-c485-4488-b7fd-f89ae4d403c2
db06f425-adf8-4de0-822a-4016d1f3f06c,7cm51u3m,great_success,533,376,431,336,150,124,616,333,128,394,"",4d1f450d-7954-4ee8-abd6-9bb4873dc71a,e3e10d88-be2c-4ee4-830a-47c0ddd03a4b,90f18bf8-a28a-4edc-9b1c-cf5473857986,90b1420b-6a6c-4dd8-ae6b-9ca0e684aac7,85f49371-f8b2-4b1e-b34c-99ca7d302448
eef4084e-0651-445e-ab87-0a16aac6d32d,t8gm7n59,low,594,526,213,184,298,110,683,194,25,181,light,80abcf22-eebe-48eb-9eef-6a02fc6a3284,0eaa6206-f393-44ab-8f59-c3451b4bbb75,b472a098-a7c6-4fe9-aee6-cd72f9afe8e6,b4adfa57-82be-42df-b38f-2911f5bb94b3,20e3ff92-2166-44fc-ac8c-9baca701f6db
fb42f17b-9c71-4756-9c67-1fe24f640f6f,ah3rpail,high,583,438,345,303,90,38,543,522,25,119,"",8b33acc1-793a-4371-9703-72afd5940747,3a0a25df-a179-4bbd-84f1-aeabc4f7a2ab,9934ad3b-d98b-4088-83d4-eba36c0ca76f,927671d0-f728-49e6-92e1-a3eee264cb0b,8574512d-bed3-4f6c-9ff8-5ef7808827a8
11a11012-6f73-431d-a9c8-15bed8495ee2,tdiiqnau,above_average,83,14,84,312,103,58,956,340,25,43,"",8485b19b-714b-4869-a43f-a56f232ab3b9,0bc5be3f-755f-4240-8288-6ca59bb28635,688be717-f39e-4248-8f0d-2621774bdb9f,a6948822-5e07-4e4d-9c5a-1b3b6acca055,9e69fecb-de1f-4508-9665-52b11cdd1602
9cc0d2d7-2b0b-49a0-b8ff-0d4f79630890,slsk0pou,average,92,18,61,167,115,118,715,116,34,21,"",ea01d474-89b6-48ac-82bd-234d93b6a633,bb45e3e8-fbbe-4500-b681-8e909f2bc943,5741fb95-5535-4a8d-ab29-04598ac85eac,a2e9ff61-a384-424d-b689-b46d5b2e859c,a02fd129-1fe5-4671-aff2-50c4fafd0ce6
d59f32c9-daf0-45cc-a288-14079d55d5d8,7t6nuj36,above_average,581,455,344,298,100,47,742,365,23,151,"",e539858e-d17f-4c8e-8d35-2a0a5fd9a43f,ac9bc10f-eb16-4c29-9793-a77e638e1bb4,77af7a9a-5bf7-45dc-ba20-52b89494441a,8b1812f9-ddb4-4cf6-bca6-d3083c90ca6b,ca60eed4-5f08-417c-b474-5ba8110e20fc
1f9c93d4-847c-4704-aa76-8f711f6696cc,0vct7vc2,above_average,619,503,612,437,631,1,713,476,26,332,light,3962af29-74b4-4239-8b6b-b1cc68473122,a81ffb26-3abc-4bc2-b428-e120473f6e3d,89353252-6ed9-499b-b551-2ecff0494b65,0f655064-dd29-4286-92e7-be2e1b52621b,441e5a59-2fb5-4470-9255-3acf58cd4bb0
1950f8f2-9df9-472d-ad01-d19f1431d861,st8mfbgg,high,627,472,607,509,622,468,491,481,339,403,"",456fb6fa-94b4-4488-a8a7-42e73af3692c,b82667e0-907f-4407-8e28-309e0d7cb741,82ea49d9-8180-487a-9a17-6744150a7944,54ee7d8b-3218-42bc-9813-26b5eb6191fa,a791a894-7e1a-464d-91df-3f83e485a9d2
bc0040a8-5052-4e71-84c4-f3d9871e1b11,qk0b25um,high,633,514,541,421,496,254,723,516,295,559,light,50c0a324-c923-402f-bd7d-0b484ee9588d,08d11251-c075-482f-80bf-f311cdf99020,bd259348-291a-499e-9947-29dbfef5348b,5b0e0803-5513-4cf8-ba72-59efd43fb245,5eb1bf06-2a34-4823-aa14-c525717a8f9a
23fb14a4-b118-4cfe-bb5e-9136d5062586,lui6bds6,high,637,461,531,489,511,362,619,507,208,341,"",92915310-56d0-4f10-a36f-94425a17572c,25b56d35-ec28-472c-9485-ee89c9d67d75,ba8f6d41-e0a9-4118-99e2-10ca7c6f382d,64df8bfd-5ac0-4554-8a5e-c40d5f3decff,bc02a9d4-012f-46f2-80ab-52c361526fd1
