sample_id,creature_serial,source,generation,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,sa1,sa2,ranged,kinetic.special,kinetic.effective,kinetic,energy.special,energy.effective,energy,blast.special,blast.effective,blast,heat.special,heat.effective,heat,cold.special,cold.effective,cold,electricity.special,electricity.effective,electricity,acid.special,acid.effective,acid,stun.special,stun.effective,stun
3a9cf5a3-3c01-43a5-acac-218c24c50f61,00pas7q5,merek_harvester,"",4,740,613,657,514,682,552,765,507,104,663,1,area_combo,dizzy,false,75,0,75,-99,0,-99,0,10,10,0,10,10,0,10,10,-99,0,-99,0,10,10,-99,0,-99
efbb9f01-2abf-4a05-a908-785d73de07fd,00pas7q5,merek_harvester,"",4,745,609,662,505,710,546,762,514,105,661,1,area_combo,dizzy,false,75,0,75,-99,0,-99,0,10,10,0,10,10,0,10,10,-99,0,-99,0,10,10,-99,0,-99
142a3717-ceef-4429-b305-de445de158ce,00pas7q5,kaadu,ju6d14qq,4,369,99,269,472,178,91,764,522,99,128,0,"",intimidation,true,26,0,26,1,0,1,-5,0,-5,-99,0,-99,-95,0,-95,-99,0,-99,0,9,9,-99,0,-99
8f920dd2-9ef4-4ad9-a64a-a56ad2d86816,00pas7q5,kaadu,ju6d14qq,5,373,103,274,479,179,92,764,523,101,125,0,"",intimidation,true,26,0,26,1,0,1,-5,0,-5,-99,0,-99,-95,0,-95,-99,0,-99,0,9,9,-99,0,-99
ddd4e5f0-0ab0-4e5b-89fc-dd8f3db5f09a,00pas7q5,kaadu,fiqlo4qk,4,343,104,186,423,173,95,760,512,105,119,0,crippling,intimidation,true,26,0,26,1,0,1,-5,0,-5,-99,0,-99,-95,0,-95,-99,0,-99,0,9,9,-99,0,-99
88497349-2ba6-49b2-94dd-b461829e67d8,019pdtas,greater_sludge_panther,"",4,422,108,441,511,426,240,958,512,417,302,0,crippling,"",false,35,0,35,0,10,10,0,10,10,-99,0,-99,-99,0,-99,-99,0,-99,45,0,45,-99,0,-99
7fd91652-90ce-41d6-90c4-54d9423289d5,019pdtas,greater_sludge_panther,"",5,429,111,445,513,441,249,964,513,426,308,0,crippling,"",false,35,0,35,0,10,10,0,10,10,-99,0,-99,-99,0,-99,-99,0,-99,45,0,45,-99,0,-99
4d1a0a62-8e5a-4e0c-a85b-cb205ceaecf1,019pdtas,kima,"",4,283,56,288,508,301,198,762,508,97,209,0,"",intimidation,false,15,0,15,20,0,20,0,5,5,-99,0,-99,0,5,5,0,5,5,-99,0,-99,-99,0,-99
a9c74f8b-99cf-41f1-b3f8-5836b467db39,019pdtas,savage_guf_drolg,"",4,168,58,154,513,170,182,762,512,96,217,0,"",intimidation,false,10,0,10,0,5,5,0,5,5,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99
592ad0b4-63d5-4f3d-8bbb-6a1415d87058,019pdtas,kima,"",4,280,60,289,506,294,193,763,514,97,207,0,"",intimidation,false,15,0,15,20,0,20,0,5,5,-99,0,-99,0,5,5,0,5,5,-99,0,-99,-99,0,-99
beb7ee89-a5ee-470b-9354-a321222ef29d,01oatm1v,hilltop_gurreck_hunter,"",5,587,262,571,516,595,357,762,513,106,461,0,stunning,crippling,false,50,0,50,65,0,65,0,25,25,0,25,25,0,25,25,0,25,25,0,25,25,0,25,25
c1f97cf9-3a70-4a79-8e68-a2886bbb2382,01oatm1v,durni,fuql3lhe,5,571,507,469,409,484,200,519,359,109,428,0,dizzy,strong_poison,true,11,0,11,-34,0,-34,17,0,17,13,0,13,10,0,10,13,0,13,19,0,19,14,0,14
b16e5cc4-a5e7-42a2-b8af-35065142cef5,01oatm1v,durni,fuql3lhe,3,561,496,460,399,471,192,500,343,90,411,0,dizzy,strong_poison,true,11,0,11,-34,0,-34,17,0,17,13,0,13,10,0,10,13,0,13,19,0,19,14,0,14
26518d47-92a5-4fdd-8999-9a70906b5819,01oatm1v,durni,fuql3lhe,4,560,498,464,406,477,198,511,348,105,423,0,dizzy,strong_poison,true,11,0,11,-34,0,-34,17,0,17,13,0,13,10,0,10,13,0,13,19,0,19,14,0,14
1dc3366b-9b34-4e8a-a033-a3ecc1f4ab9a,01oatm1v,nocuous_kamurith,"",5,566,515,640,512,591,442,767,518,193,569,1,dizzy,strong_poison,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8f9427c-fe39-4962-bd31-48373fa002e8,04anubgq,skreeg_warrior_elite,"",4,513,212,547,511,541,302,762,511,98,367,0,stunning,dizzy,false,-99,0,-99,75,0,75,0,20,20,-99,0,-99,100,0,100,-99,0,-99,-99,0,-99,-99,0,-99
36795535-7bc0-4902-9510-9a2378247b76,04anubgq,corellian_butterfly_monarch,"",5,290,62,322,518,263,213,765,518,193,263,0,knockdown,intimidation,false,-99,0,-99,25,0,25,-99,0,-99,0,5,5,0,5,5,-99,0,-99,-99,0,-99,-99,0,-99
d9bb6677-a54f-4a4b-9ea7-0e4a47457752,04anubgq,corellian_butterfly_defender,"",5,140,63,141,510,145,198,762,520,105,271,0,"",intimidation,false,0,5,5,15,0,15,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99,-99,0,-99
5c1455d4-e45f-4ad3-b6e0-87c53cc4e47c,04anubgq,festering_squill,"",4,402,156,390,510,366,288,758,512,104,393,0,blinding,medium_disease,false,40,0,40,40,0,40,0,15,15,-99,0,-99,0,15,15,0,15,15,50,0,50,-99,0,-99
9b361131-c6f5-4a0a-8247-0913f91f6510,04anubgq,rancor,"",5,601,515,657,518,608,478,513,519,564,618,1,stunning,intimidation,false,30,0,30,30,0,30,-99,0,-99,60,0,60,60,0,60,60,0,60,-99,0,-99,-99,0,-99
40b2eea8-3f1c-4707-9f2b-09b339df4f02,06tjc3dn,gurreck_forest_stalker,"",3,503,210,535,500,526,298,750,501,99,421,0,dizzy,"",false,25,0,25,50,0,50,0,20,20,0,20,20,-99,0,-99,-99,0,-99,0,20,20,0,20,20
9ef8ea3b-7674-497f-9cd4-9deeccc9655d,06tjc3dn,savage_quenker,"",3,260,158,277,508,262,246,757,505,94,362,0,unknown,stunning,true,35,0,35,35,0,35,0,15,15,0,15,15,-99,0,-99,0,15,15,0,15,15,-99,0,-99
e764da7b-14db-4bc8-821a-7adc8de63c0a,06tjc3dn,bolle_bol_stomper,"",4,339,110,342,514,324,225,763,513,100,282,0,dizzy,crippling,false,25,0,25,0,10,10,-99,0,-99,-99,0,-99,50,0,50,-99,0,-99,50,0,50,-99,0,-99
c5b227f7-aba5-4005-ac4c-28d31c2d8bcb,06tjc3dn,durni,jt8lb3ht,3,317,162,153,348,148,97,505,515,90,149,0,"","",true,27,0,27,37,0,37,0,16,16,0,16,16,-94,0,-94,-29,0,-29,-4,0,-4,-74,0,-74
191e08d8-40a4-4755-a0bc-2f067c6c94f9,06tjc3dn,verne_bull,"",3,280,59,256,502,283,185,509,504,98,215,0,stunning,"",false,0,5,5,0,5,5,0,5,5,-99,0,-99,-99,0,-99,25,0,25,25,0,25,-99,0,-99
89fabd6d-8052-482a-b152-127d28f0dc35,07hb7unl,merek_harvester,"",4,736,612,656,511,686,543,764,513,104,653,1,area_combo,dizzy,false,75,0,75,-99,0,-99,0,10,10,0,10,10,0,10,10,-99,0,-99,0,10,10,-99,0,-99
