id,serial,quality,hardiness,fortitude,dexterity,endurance,intellect,cleverness,dependability,courage,fierceness,power,armor,sa1,sa2,ranged,used,physique,prowess,mental,psychology,aggression,kinetic.special,kinetic.effective,kinetic,energy.special,energy.effective,energy,blast.special,blast.effective,blast,heat.special,heat.effective,heat,cold.special,cold.effective,cold,electricity.special,electricity.effective,electricity,acid.special,acid.effective,acid,stun.special,stun.effective,stun
59ac6571-7046-4ebd-b094-2cd7bf4b3d72,266f04mq,4,611,442,352,317,105,50,763,519,27,137,0,crippling,intimidation,true,00pas7q5,3a9cf5a3-3c01-43a5-acac-218c24c50f61,efbb9f01-2abf-4a05-a908-785d73de07fd,142a3717-ceef-4429-b305-de445de158ce,8f920dd2-9ef4-4ad9-a64a-a56ad2d86816,ddd4e5f0-0ab0-4e5b-89fc-dd8f3db5f09a,58,0,58,-64,0,-64,-2,0,-2,-35,0,-35,-34,0,-34,-99,0,-99,0,40,40,-99,0,-99
a88eea20-f663-49a5-90b2-24bf609e5786,qoodetmk,4,370,93,202,338,122,71,788,511,73,95,0,"",intimidation,false,019pdtas,88497349-2ba6-49b2-94dd-b461829e67d8,7fd91652-90ce-41d6-90c4-54d9423289d5,4d1a0a62-8e5a-4e0c-a85b-cb205ceaecf1,a9c74f8b-99cf-41f1-b3f8-5836b467db39,592ad0b4-63d5-4f3d-8bbb-6a1415d87058,28,0,28,5,0,5,0,5,5,-99,0,-99,-68,0,-68,-68,0,-68,-5,0,-5,-99,0,-99
70fb1ee8-d9fb-4654-a3d5-72f7811c37f2,7pc5dm95,4,575,406,395,341,338,191,417,212,142,447,0,dizzy,strong_poison,false,01oatm1v,beb7ee89-a5ee-470b-9354-a321222ef29d,c1f97cf9-3a70-4a79-8e68-a2886bbb2382,b16e5cc4-a5e7-42a2-b8af-35065142cef5,26518d47-92a5-4fdd-8999-9a70906b5819,1dc3366b-9b34-4e8a-a033-a3ecc1f4ab9a,24,0,24,16,0,16,5,0,5,4,0,4,3,0,3,4,0,4,6,0,6,4,0,4
57e3ffd7-2e19-4eb4-9786-4f4de75387da,ar63gbss,4,459,242,382,455,111,98,717,515,248,319,0,stunning,intimidation,false,04anubgq,d8f9427c-fe39-4962-bd31-48373fa002e8,36795535-7bc0-4902-9510-9a2378247b76,d9bb6677-a54f-4a4b-9ea7-0e4a47457752,5c1455d4-e45f-4ad3-b6e0-87c53cc4e47c,9b361131-c6f5-4a0a-8247-0913f91f6510,-16,0,-16,47,0,47,-65,0,-65,-31,0,-31,52,0,52,-31,0,-31,-92,0,-92,-99,0,-99
4fb9043c-6768-48e9-af81-ebb32f45ab9a,ntktb3hj,3,349,153,167,317,46,65,517,418,1,269,0,stunning,"",false,06tjc3dn,40b2eea8-3f1c-4707-9f2b-09b339df4f02,9ef8ea3b-7674-497f-9cd4-9deeccc9655d,e764da7b-14db-4bc8-821a-7adc8de63c0a,c5b227f7-aba5-4005-ac4c-28d31c2d8bcb,191e08d8-40a4-4755-a0bc-2f067c6c94f9,21,0,21,31,0,31,-4,0,-4,-29,0,-29,-90,0,-90,-10,0,-10,8,0,8,-87,0,-87
b9e546c4-8bf6-4ac9-abc6-a8b52756c455,7cm51u3m,3,649,473,554,493,319,285,616,333,290,391,0,stunning,intimidation,false,07hb7unl,89fabd6d-8052-482a-b152-127d28f0dc35,07e80edb-b966-43fd-8513-ed82b5e2e4ee,4f6b10b8-4cee-4ddd-a882-a006836ff64c,def8febe-2cfd-4f79-8a70-7f3a9ca94c64,bcf6ac7d-fc82-435f-bfd4-ddfbd9732467,59,0,59,-55,0,-55,-30,0,-30,6,0,6,10,0,10,-55,0,-55,-28,0,-28,-99,0,-99
0ef89fb6-362a-4833-b192-2bbc5dff386a,t8gm7n59,0,594,526,213,184,298,110,683,194,25,181,1,strong_poison,strong_disease,true,08scmn1f,b1506579-e63e-40a3-8575-b04c0acc605d,59711cc5-2e89-42ad-b780-e5c281dad7b5,51940ab6-172f-48f1-b466-a2705aeefd43,c2a38e93-1100-4add-87b4-1d69f5790375,8140518b-e81c-4d1d-b70a-503e4302749a,18,0,18,12,0,12,0,0,0,8,0,8,8,0,8,-42,0,-42,-8,0,-8,-29,0,-29
e08c04d3-016d-41f8-afc7-1805c63aefa2,ah3rpail,4,583,438,345,303,90,38,543,522,25,119,0,crippling,intimidation,false,094fpaem,994b11c7-f73e-4129-838a-cf8943380057,1c56ba04-35e4-4d1a-a61c-b5c0f3f51654,cee41b3c-905b-462d-a119-04440d5ba0b3,a9dfd26e-480a-44a9-8a96-0cc6d5c2bb24,d016f381-8591-45e0-8e56-8dc039566225,59,0,59,-62,0,-62,0,40,40,-34,0,-34,-23,0,-23,-88,0,-88,-1,0,-1,-99,0,-99
76f1724d-835d-461d-a1d3-ae1808f28f15,tdiiqnau,3,83,14,84,312,103,58,956,340,25,43,0,stunning,crippling,false,0el9tnqd,9f01a56f-568a-4f0f-8964-f957ef45690a,8b1b7cd6-376e-427b-aac1-fa7a35d43b6d,4f7efdfb-8f43-491d-9bc4-ee8d6e3a4d65,5c180245-e106-40db-8b4a-6cb234ea9322,b3a1381f-853b-40fd-8851-8e8e66199c75,13,0,13,15,0,15,0,0,0,-82,0,-82,-82,0,-82,-14,0,-14,54,0,54,-16,0,-16
b9debc2e-48bb-4919-b0a0-ceef3d4a86fb,slsk0pou,2,92,18,61,167,115,118,715,116,34,21,0,"",stunning,false,0enc7p4r,3ce07de4-4b91-4a1a-9ff4-68e5bef36d31,9c2c8f5f-398d-4657-b7ff-51d03aa613ff,f3f7328c-f123-4361-bca2-50d9749580c7,b98f7983-7356-43c6-b983-2e6221e5478c,67ecfd49-ab6a-4e5f-8a02-face89d15ddd,17,0,17,9,0,9,0,0,0,20,0,20,-39,0,-39,-53,0,-53,-39,0,-39,-98,0,-98
